Town,Rate
Worcester,-26.6%
Everett,-26.8%
Wendell,-26.9%
Whitman,-27.1%
Mendon,-27.2%
West Brookfield,-27.2%
Charlton,-27.5%
Phillipston,-27.7%
Upton,-27.7%
Abington,-27.9%
Lawrence,-28.0%
Brimfield,-28.3%
Lakeville,-28.4%
Warren,-28.4%
Winchendon,-28.4%
Fitchburg,-28.6%
Rutland,-28.9%
Spencer,-29.0%
Salisbury,-30.0%
Orange,-30.4%
Carver,-30.7%
New Bedford,-31.0%
North Brookfield,-31.4%
Barre,-31.4%
Monterey,-31.6%
Chatham,-31.6%
Oak Bluffs,-31.9%
Middleton,-32.0%
Templeton,-32.1%
Millbury,-32.1%
Gardner,-32.3%
Randolph,-32.6%
Becket,-32.8%
Grafton,-33.4%
Sandisfield,-33.5%
Ashby,-34.0%
Dunstable,-34.1%
Hyannis,-34.2%
Nantucket,-34.4%
Shirley,-34.6%
Fall River,-34.6%
Brockton,-35.2%
Southbridge,-36.4%
West Stockbridge,-36.8%
Nahant,-37.6%
Ashburnham,-38.8%
Millville,-39.3%
Essex,-40.1%
Sunderland,-40.1%
Athol,-41.4%
Warwick,-41.7%
Princeton,-42.0%
Plympton,-48.0%
Chester,-48.7%
Worthington,-51.0%
